Rod-and-frame experiment by Bart Alberts and Wim Verhagen, Sensorimotorlab Nijmegen 
Rod-and-frame task: a rod-and-frame stimulus is presented, and the participant has to indicate whether the rod is tilted counterclockwise (left arrow key, response=-1) or clockwise (right arrow key, response=1) with respect to the gravitational vertical.

subjectNr = 5;
nRepetitions = 10;
condition = frame;
location = v;
expDate = 2016_Feb_25_0900;
viewDistance_cm = 57;
monitorSize_cm = [122, 67.5];
screenNr = 0;
monitorResolution = [1920, 1080];
monitorFrameRate = 60;

frameOri rodOri response reactionTime 
10.0 1.0 -1.0 0.36
-30.0 11.0 1.0 0.36
35.0 -1.0 -1.0 0.41
10.0 -1.0 -1.0 0.39
40.0 4.0 -1.0 0.48
30.0 -13.0 -1.0 0.38
25.0 -9.0 -1.0 0.38
-20.0 -3.0 1.0 0.51
15.0 -1.0 -1.0 0.50
20.0 -6.0 -1.0 0.39
5.0 1.0 -1.0 0.47
-15.0 -6.0 -1.0 0.38
0.0 -13.0 -1.0 0.43
-10.0 4.0 1.0 0.45
-15.0 -1.0 -1.0 0.32
25.0 1.0 1.0 0.37
15.0 11.0 1.0 0.38
-5.0 7.0 1.0 0.35
-35.0 11.0 1.0 0.39
-45.0 -6.0 -1.0 0.44
5.0 11.0 1.0 0.39
-20.0 -1.0 1.0 0.45
5.0 -13.0 -1.0 0.41
-15.0 1.0 1.0 0.37
5.0 7.0 1.0 0.37
-35.0 -9.0 -1.0 0.44
-20.0 7.0 1.0 0.40
-25.0 7.0 1.0 0.33
-40.0 7.0 1.0 0.40
-5.0 11.0 1.0 0.33
-10.0 -3.0 -1.0 0.55
35.0 -6.0 -1.0 0.38
20.0 -1.0 -1.0 0.41
35.0 7.0 1.0 0.44
-10.0 -1.0 1.0 0.44
-20.0 1.0 1.0 0.37
10.0 11.0 1.0 0.34
40.0 -3.0 -1.0 0.47
-5.0 -6.0 -1.0 0.38
30.0 -6.0 -1.0 0.42
-45.0 -13.0 -1.0 0.43
-40.0 -1.0 -1.0 0.38
-25.0 11.0 1.0 0.35
-5.0 4.0 1.0 0.28
-45.0 11.0 1.0 0.31
20.0 -3.0 -1.0 0.35
-20.0 11.0 1.0 0.37
15.0 1.0 -1.0 0.48
5.0 -9.0 -1.0 0.35
-15.0 4.0 1.0 0.35
-35.0 4.0 1.0 0.37
30.0 11.0 1.0 0.42
-45.0 -9.0 -1.0 0.44
-10.0 -9.0 -1.0 0.46
-5.0 -9.0 -1.0 0.34
25.0 -1.0 -1.0 0.54
-25.0 -13.0 -1.0 0.46
-5.0 -3.0 1.0 0.53
20.0 11.0 1.0 0.62
-25.0 -6.0 -1.0 0.44
0.0 1.0 1.0 0.43
0.0 4.0 1.0 0.93
-40.0 -9.0 -1.0 0.42
-35.0 7.0 1.0 0.38
-5.0 -6.0 -1.0 0.63
