Rod-and-frame experiment by Bart Alberts and Wim Verhagen, Sensorimotorlab Nijmegen 
Rod-and-frame task: a rod-and-frame stimulus is presented, and the participant has to indicate whether the rod is tilted counterclockwise (left arrow key, response=-1) or clockwise (right arrow key, response=1) with respect to the gravitational vertical.

subjectNr = 16;
nRepetitions = 10;
condition = frame;
location = v;
expDate = 2016_Apr_13_1337;
viewDistance_cm = 57;
monitorSize_cm = [122, 67.5];
screenNr = 0;
monitorResolution = [1920, 1080];
monitorFrameRate = 60;

frameOri rodOri response reactionTime 
-5.0 -13.0 -1.0 0.72
-45.0 -5.0 -1.0 0.77
-35.0 -7.0 -1.0 0.52
-20.0 -17.0 -1.0 0.53
-40.0 7.0 1.0 0.70
-35.0 0.0 1.0 0.41
-5.0 3.0 1.0 0.49
-10.0 3.0 1.0 0.58
-5.0 7.0 1.0 0.65
0.0 3.0 1.0 0.49
25.0 -3.0 -1.0 0.97
-25.0 -17.0 -1.0 0.73
40.0 -7.0 -1.0 0.78
-10.0 -13.0 -1.0 0.61
-45.0 3.0 1.0 0.68
25.0 -17.0 -1.0 0.66
25.0 0.0 1.0 0.64
-30.0 -5.0 1.0 0.94
0.0 -5.0 -1.0 0.56
20.0 3.0 -1.0 0.73
40.0 -13.0 -1.0 0.51
35.0 -13.0 -1.0 0.55
-45.0 0.0 1.0 0.68
10.0 0.0 1.0 0.57
40.0 -3.0 1.0 0.57
35.0 3.0 1.0 0.64
10.0 -3.0 -1.0 1.25
15.0 -13.0 -1.0 0.45
5.0 0.0 1.0 0.64
-5.0 -17.0 -1.0 0.72
10.0 -13.0 -1.0 0.51
-40.0 -17.0 -1.0 0.47
20.0 -10.0 -1.0 0.63
-30.0 0.0 1.0 0.66
-45.0 -10.0 1.0 0.47
35.0 -7.0 -1.0 0.61
40.0 -17.0 -1.0 0.35
-30.0 7.0 1.0 0.60
-20.0 3.0 1.0 0.38
-35.0 3.0 1.0 0.42
25.0 -7.0 -1.0 0.58
-15.0 -13.0 -1.0 0.41
30.0 -5.0 -1.0 0.40
-30.0 -7.0 -1.0 0.47
-25.0 -3.0 1.0 0.85
10.0 -10.0 -1.0 0.72
35.0 -5.0 -1.0 0.68
-15.0 -5.0 1.0 1.36
-35.0 -13.0 -1.0 0.58
20.0 0.0 1.0 0.60
0.0 7.0 1.0 0.67
5.0 -13.0 -1.0 0.69
-10.0 -10.0 -1.0 0.63
15.0 3.0 1.0 1.13
-20.0 -7.0 1.0 0.83
-45.0 -17.0 -1.0 0.74
-25.0 3.0 1.0 0.84
-10.0 7.0 1.0 0.62
10.0 7.0 1.0 0.63
35.0 -10.0 -1.0 0.71
-30.0 -10.0 -1.0 0.64
-5.0 -7.0 -1.0 0.57
5.0 -5.0 -1.0 0.52
20.0 -5.0 -1.0 0.72
25.0 3.0 1.0 0.75
-5.0 -3.0 1.0 0.57
0.0 -17.0 -1.0 0.84
-20.0 0.0 1.0 0.61
-10.0 0.0 1.0 0.48
20.0 -17.0 -1.0 0.68
5.0 -17.0 -1.0 0.44
20.0 -3.0 1.0 0.77
0.0 -13.0 -1.0 0.45
-10.0 -7.0 1.0 1.25
15.0 0.0 1.0 0.89
-45.0 -7.0 -1.0 0.76
-35.0 -17.0 -1.0 0.72
-25.0 -13.0 -1.0 0.50
-25.0 -5.0 -1.0 0.92
-25.0 0.0 1.0 0.63
0.0 0.0 1.0 0.64
-30.0 -17.0 -1.0 0.74
-30.0 3.0 1.0 0.62
35.0 0.0 1.0 0.46
35.0 -17.0 -1.0 0.64
-15.0 0.0 1.0 0.58
5.0 -10.0 -1.0 0.76
30.0 -13.0 -1.0 0.60
10.0 -17.0 -1.0 0.75
30.0 -17.0 -1.0 0.73
20.0 -7.0 -1.0 0.74
-35.0 -3.0 1.0 1.00
-40.0 -5.0 -1.0 1.76
-15.0 -17.0 -1.0 0.53
10.0 -5.0 -1.0 0.76
20.0 7.0 1.0 0.82
15.0 -5.0 -1.0 1.38
40.0 7.0 1.0 0.79
-45.0 7.0 1.0 0.58
20.0 -13.0 -1.0 0.67
15.0 7.0 1.0 0.85
30.0 -7.0 -1.0 0.73
25.0 -13.0 -1.0 0.76
30.0 3.0 1.0 0.73
-20.0 7.0 1.0 0.80
-15.0 -10.0 -1.0 1.46
-35.0 -10.0 -1.0 0.60
10.0 -7.0 -1.0 0.58
-25.0 7.0 1.0 0.70
-5.0 -5.0 -1.0 0.98
30.0 -3.0 -1.0 0.81
-35.0 7.0 1.0 0.71
0.0 -10.0 -1.0 0.64
-20.0 -3.0 1.0 0.86
-40.0 -13.0 -1.0 0.65
30.0 7.0 1.0 0.65
-40.0 -3.0 1.0 1.39
35.0 -3.0 1.0 0.60
-20.0 -10.0 -1.0 0.76
30.0 -10.0 -1.0 0.62
10.0 3.0 1.0 1.66
15.0 -10.0 -1.0 0.97
25.0 7.0 1.0 0.76
-10.0 -5.0 1.0 0.77
-5.0 0.0 1.0 0.62
40.0 0.0 1.0 0.95
-40.0 -7.0 -1.0 0.82
15.0 -17.0 -1.0 0.59
40.0 -10.0 -1.0 0.65
-30.0 -13.0 -1.0 0.57
-15.0 3.0 1.0 0.70
-30.0 -3.0 1.0 0.55
-10.0 -17.0 -1.0 0.73
5.0 -7.0 -1.0 0.49
35.0 7.0 1.0 0.68
-15.0 -7.0 1.0 0.48
25.0 -5.0 1.0 0.65
-20.0 -13.0 -1.0 0.66
-5.0 -10.0 -1.0 0.48
5.0 -3.0 -1.0 1.18
-20.0 -5.0 -1.0 0.97
0.0 -3.0 -1.0 0.71
15.0 -3.0 -1.0 0.70
40.0 -5.0 -1.0 0.58
-40.0 3.0 -1.0 0.78
-10.0 -3.0 1.0 0.87
-25.0 -7.0 1.0 0.86
5.0 7.0 1.0 0.61
