Rod-and-frame experiment by Bart Alberts and Wim Verhagen, Sensorimotorlab Nijmegen 
Rod-and-frame task: a rod-and-frame stimulus is presented, and the participant has to indicate whether the rod is tilted counterclockwise (left arrow key, response=-1) or clockwise (right arrow key, response=1) with respect to the gravitational vertical.

subjectNr = 16;
nRepetitions = 10;
condition = tilt30;
location = v;
expDate = 2016_Apr_13_1443;
viewDistance_cm = 57;
monitorSize_cm = [122, 67.5];
screenNr = 0;
monitorResolution = [1920, 1080];
monitorFrameRate = 60;

frameOri rodOri response reactionTime 
40.0 -16.0 1.0 0.54
40.0 -8.0 -1.0 1.35
0.0 9.0 1.0 0.79
35.0 4.0 1.0 0.41
-40.0 -16.0 -1.0 0.85
-20.0 -21.0 -1.0 0.63
5.0 -4.0 -1.0 0.51
-5.0 9.0 1.0 0.66
30.0 9.0 1.0 0.40
-25.0 -8.0 -1.0 0.89
-10.0 -1.0 1.0 1.02
-25.0 -6.0 1.0 1.09
-15.0 4.0 1.0 0.59
-35.0 -21.0 -1.0 0.76
-30.0 -8.0 1.0 0.77
30.0 -8.0 1.0 1.22
40.0 9.0 1.0 0.55
30.0 -6.0 -1.0 0.84
-45.0 -1.0 1.0 0.75
30.0 -11.0 1.0 1.00
-45.0 -21.0 1.0 0.80
-25.0 4.0 1.0 0.56
-15.0 -1.0 1.0 0.64
35.0 -6.0 1.0 0.52
10.0 -4.0 1.0 0.78
-35.0 -1.0 1.0 0.58
0.0 -4.0 1.0 0.75
-45.0 -16.0 1.0 0.56
35.0 -1.0 1.0 0.81
30.0 -1.0 1.0 0.55
0.0 -11.0 -1.0 0.52
-30.0 -4.0 -1.0 0.57
-15.0 -6.0 -1.0 0.33
-10.0 -8.0 -1.0 0.34
40.0 -11.0 -1.0 0.33
40.0 -8.0 -1.0 0.32
-35.0 -1.0 -1.0 0.30
20.0 -6.0 -1.0 0.36
-15.0 4.0 1.0 0.80
25.0 -4.0 -1.0 0.73
15.0 -11.0 -1.0 0.36
-20.0 -1.0 1.0 0.67
40.0 4.0 1.0 0.48
-5.0 -21.0 -1.0 0.53
0.0 -4.0 -1.0 0.66
20.0 -1.0 -1.0 0.43
-45.0 -4.0 -1.0 0.44
-40.0 -4.0 -1.0 0.54
5.0 -6.0 -1.0 0.54
35.0 4.0 1.0 0.78
20.0 -21.0 -1.0 0.64
30.0 4.0 1.0 0.67
-10.0 -6.0 1.0 0.62
35.0 -1.0 -1.0 1.59
-15.0 -16.0 -1.0 0.47
0.0 4.0 1.0 0.70
-40.0 9.0 1.0 0.55
-45.0 -21.0 -1.0 0.92
-45.0 -11.0 -1.0 0.45
0.0 -8.0 -1.0 0.38
-45.0 9.0 1.0 0.63
40.0 -4.0 -1.0 0.65
-15.0 -21.0 -1.0 0.50
10.0 -4.0 -1.0 0.92
-45.0 -6.0 -1.0 0.48
-35.0 -8.0 -1.0 0.40
15.0 -1.0 -1.0 0.42
-20.0 4.0 1.0 1.41
-25.0 -1.0 1.0 0.59
40.0 -16.0 -1.0 0.80
-30.0 -6.0 -1.0 0.88
25.0 4.0 1.0 0.65
0.0 -11.0 -1.0 0.75
5.0 -21.0 -1.0 0.57
