Rod-and-frame experiment by Bart Alberts and Wim Verhagen, Sensorimotorlab Nijmegen 
Rod-and-frame task: a rod-and-frame stimulus is presented, and the participant has to indicate whether the rod is tilted counterclockwise (left arrow key, response=-1) or clockwise (right arrow key, response=1) with respect to the gravitational vertical.

subjectNr = 7;
nRepetitions = 10;
condition = frame;
location = v;
expDate = 2016_Mar_29_0908;
viewDistance_cm = 57;
monitorSize_cm = [122, 67.5];
screenNr = 0;
monitorResolution = [1920, 1080];
monitorFrameRate = 60;

frameOri rodOri response reactionTime 
15.0 5.0 1.0 0.48
-30.0 8.0 1.0 0.60
-30.0 12.0 1.0 0.45
-45.0 -8.0 -1.0 0.67
-10.0 5.0 1.0 0.50
10.0 -2.0 -1.0 0.59
0.0 5.0 1.0 0.65
5.0 2.0 1.0 1.38
-35.0 -2.0 1.0 1.21
-35.0 12.0 1.0 0.86
20.0 2.0 -1.0 0.63
-40.0 12.0 1.0 0.56
35.0 5.0 1.0 0.81
-15.0 2.0 1.0 0.79
0.0 12.0 1.0 0.41
35.0 -12.0 -1.0 0.62
5.0 -2.0 -1.0 0.75
-5.0 -8.0 -1.0 0.62
25.0 -8.0 -1.0 0.58
30.0 0.0 -1.0 0.67
-15.0 8.0 1.0 0.53
-20.0 12.0 1.0 0.60
20.0 0.0 1.0 0.88
20.0 -2.0 -1.0 0.66
-45.0 -12.0 -1.0 0.62
-20.0 2.0 1.0 0.48
-25.0 8.0 1.0 0.61
-35.0 5.0 1.0 0.64
0.0 -8.0 -1.0 0.60
20.0 5.0 -1.0 0.57
0.0 8.0 1.0 0.51
-5.0 2.0 1.0 0.50
10.0 0.0 -1.0 0.57
10.0 2.0 -1.0 0.55
-5.0 -2.0 -1.0 1.29
20.0 -5.0 -1.0 0.58
35.0 0.0 -1.0 0.51
40.0 -8.0 -1.0 0.51
35.0 8.0 -1.0 0.91
-10.0 12.0 1.0 0.59
5.0 5.0 1.0 0.49
-20.0 -2.0 1.0 0.60
40.0 8.0 1.0 0.52
20.0 12.0 1.0 0.53
-20.0 8.0 1.0 0.46
40.0 12.0 1.0 0.43
-20.0 0.0 1.0 0.72
-15.0 5.0 1.0 0.50
10.0 8.0 1.0 0.59
15.0 -2.0 -1.0 0.80
40.0 -2.0 -1.0 0.55
35.0 12.0 1.0 0.50
25.0 12.0 1.0 0.50
10.0 0.0 -1.0 0.73
-35.0 8.0 1.0 0.44
5.0 -2.0 -1.0 0.67
-40.0 -2.0 -1.0 0.70
40.0 5.0 1.0 0.58
-30.0 -8.0 -1.0 0.57
-25.0 -5.0 -1.0 0.56
15.0 -5.0 -1.0 0.58
35.0 2.0 -1.0 0.41
-25.0 2.0 1.0 0.78
